!File created with processIceEx v1-11-02-2016 at 02/20/17 11:29:09 
!hour	        kW   	  kW   	   kWh    	    kWh    	   kW/K 	    kW/K 	 [-] 	 [-] 
!(1)Time	 (2)Power 	 (3)uQ 	 (4)EAcum 	 (5)uEAcum 	 (6)UA 	 (7)uUA 	 V_ice 	 uV_ice 
1.111111	-5.221377	0.045539	-6.190415	0.053990	1.920785	0.070840	0.704280	0.554731
2.222222	-5.532014	0.048248	-12.215336	0.106537	2.442491	0.099265	4.578720	0.555599
3.333333	-5.664509	0.049404	-18.347899	0.160023	2.739866	0.119590	8.010371	0.557813
4.444444	-5.421830	0.047287	-24.479608	0.213502	2.557660	0.109012	10.964015	0.560806
5.555556	-5.752411	0.050170	-30.632145	0.267162	2.423497	0.095410	13.952872	0.564955
6.666667	-5.574851	0.048622	-36.782360	0.320801	2.263353	0.088105	17.163126	0.570507
7.777778	-5.555659	0.048454	-42.913088	0.374271	2.198102	0.083033	20.041284	0.576552
8.888889	-5.695895	0.049677	-49.040458	0.427712	2.228522	0.084200	23.030141	0.583579
10.000000	-5.590597	0.048759	-55.162638	0.481107	2.194592	0.083703	25.922525	0.591007
11.111111	-5.503760	0.048002	-61.272112	0.534391	2.074765	0.076565	28.689985	0.599605
12.222222	-5.575741	0.048629	-67.362781	0.587512	2.137704	0.080451	31.457445	0.607814
13.333333	-5.550625	0.048410	-73.441255	0.640526	2.112842	0.079469	34.335604	0.617432
14.444444	-5.193789	0.045298	-79.498071	0.693351	1.923553	0.071428	37.103064	0.627839
15.555556	-5.622974	0.049041	-85.549936	0.746133	2.055741	0.075605	39.981223	0.638779
16.666667	-5.442207	0.047465	-91.592163	0.798831	1.951543	0.070673	42.724673	0.650191
17.777778	-5.642930	0.049215	-97.640600	0.851583	1.990894	0.071458	45.602831	0.662455
18.888889	-5.487826	0.047863	-103.677581	0.904235	1.906921	0.068893	48.370291	0.674572
20.000000	-5.430726	0.047365	-109.697925	0.956742	1.816420	0.063612	51.248461	0.688836
21.111111	-5.433233	0.047387	-115.710314	1.009180	1.792618	0.062461	54.015921	0.702069
22.222222	-5.414611	0.047224	-121.703135	1.061447	1.767524	0.061373	56.870070	0.715850
23.333333	-5.397734	0.047077	-127.673327	1.113517	1.705975	0.058654	59.637530	0.730344
24.444444	-5.398465	0.047083	-133.617450	1.165359	1.674879	0.056938	62.626387	0.745887
25.555556	-5.476016	0.047760	-139.534760	1.216967	1.625304	0.055330	65.504546	0.761984
26.666667	-5.155907	0.044968	-145.414882	1.268252	1.490732	0.049922	68.272006	0.776709
27.777778	-5.196584	0.045323	-151.252633	1.319166	1.446475	0.049097	71.260863	0.792638
28.888889	-4.916783	0.042882	-157.006102	1.369346	1.287393	0.043149	74.557816	0.811368
30.000000	-5.091600	0.044407	-162.650921	1.418578	1.183607	0.039330	77.878768	0.830827
31.111111	-4.817893	0.042020	-168.106614	1.466160	0.949973	0.031471	81.089022	0.850154
32.222222	-3.562227	0.031069	-172.563678	1.505033	0.679102	0.027846	83.745784	0.866400
33.333333	-2.969438	0.025899	-176.268541	1.537346	0.524591	0.026166	84.836661	0.873134
34.444444	-2.756543	0.024042	-179.452006	1.565111	0.454551	0.024327	87.382725	0.888986
35.555556	-2.615356	0.022811	-182.387984	1.590718	0.394439	0.022663	88.821815	0.898027
36.666667	-2.368242	0.020656	-185.159744	1.614893	0.330358	0.020435	90.371582	0.907827
!37.777778	-2.243962	0.019572	-187.760537	1.637577	0.294524	0.019136	91.589275	0.915571
!38.888889	-2.214155	0.019312	-190.218292	1.659013	0.277138	0.018506	92.806947	0.923354
!40.000000	-2.088856	0.018219	-192.570537	1.679530	0.251605	0.017414	94.135328	0.931887
!41.111111	-2.021353	0.017630	-194.801707	1.698990	0.235172	0.016882	95.353021	0.939746
!42.222222	-1.945325	0.016967	-196.945316	1.717687	0.219558	0.016382	96.592810	0.947785
!43.333333	-1.769176	0.015431	-199.018875	1.735772	0.194007	0.015204	97.810493	0.955714
!44.444444	-1.503301	0.013112	-200.953722	1.752648	0.163107	0.015028	99.138874	0.964403
!45.555556	-1.393452	0.012154	-202.642424	1.767378	0.150896	0.014987	100.024461	0.970218
!46.666667	-1.313958	0.011461	-204.227914	1.781207	0.141819	0.014967	101.131445	0.977509
!47.777778	-1.251009	0.010912	-205.698311	1.794033	0.134708	0.014926	102.238429	0.984827
!48.888889	-1.313297	0.011455	-207.111536	1.806360	0.141051	0.015952	103.013340	0.989965
!50.000000	-1.156815	0.010091	-208.466842	1.818182	0.123837	0.015578	103.456134	0.992906
!51.111111	-1.100240	0.009598	-209.722006	1.829131	0.117560	0.015563	104.009626	0.996588
!52.222222	-1.005752	0.008773	-210.897185	1.839382	0.107232	0.014780	104.452419	0.999538
!53.333333	-0.921851	0.008042	-212.013454	1.849120	0.098164	0.014649	104.895213	1.002492
!54.444444	-0.951556	0.008301	-213.092588	1.858534	0.101165	0.015441	105.338007	1.005450
!55.555556	-0.829570	0.007237	-214.104215	1.867359	0.088072	0.014654	105.891499	1.009153
!56.666667	-0.791584	0.006906	-215.060030	1.875698	0.083940	0.014618	106.666388	1.014346
!57.777778	-0.809119	0.007059	-215.991829	1.883827	0.085753	0.015333	106.887784	1.015832
!58.888889	0.009486	0.000000	-216.716942	1.890159	0.001251	0.000044	106.694284	1.014533
