!File created with processIceEx v1-11-02-2016 at 06/08/17 14:05:01 
!hour	        kW   	  kW   	   kWh    	    kWh    	   kW/K 	    kW/K 	 [-] 	 [-] 
!(1)Time	 (2)Power 	 (3)uQ 	 (4)EAcum 	 (5)uEAcum 	 (6)UA 	 (7)uUA 	 V_ice 	 uV_ice 
1.111111	-4.308140	0.078386	-5.111238	0.092657	0.750101	0.028492	0.020658	0.554090
2.222222	-4.352893	0.079130	-10.172973	0.184767	0.893999	0.034322	2.532937	0.554092
3.333333	-4.560702	0.083149	-15.222555	0.276710	0.862039	0.031744	5.215895	0.554124
4.444444	-4.013341	0.073130	-20.036184	0.364485	0.766639	0.030877	7.719581	0.554178
5.555556	-4.048554	0.073893	-24.583321	0.447418	0.738300	0.029397	9.785148	0.554239
6.666667	-3.184924	0.057717	-28.405219	0.516864	0.712728	0.034577	11.500773	0.554303
7.777778	-3.174250	0.057562	-31.937462	0.580906	0.694034	0.033826	12.968846	0.554367
8.888889	-3.149910	0.057142	-35.422565	0.644122	0.680101	0.033321	14.815356	0.554457
10.000000	-3.078104	0.055892	-38.900827	0.707260	0.644411	0.031973	16.351710	0.554544
11.111111	-3.091001	0.056135	-42.335373	0.769627	0.643582	0.031845	17.882404	0.554639
12.222222	-3.060795	0.055607	-45.736618	0.831408	0.630219	0.031412	19.549642	0.554751
13.333333	-3.035369	0.055173	-49.121591	0.892926	0.614676	0.030785	20.949451	0.554857
14.444444	-3.026577	0.055036	-52.484361	0.954060	0.605863	0.030366	22.548418	0.554981
15.555556	-3.006237	0.054693	-55.826341	1.014844	0.593041	0.029893	23.982355	0.555102
16.666667	-3.022090	0.055009	-59.164528	1.075591	0.588051	0.029493	25.567087	0.555240
17.777778	-2.969551	0.054071	-62.497762	1.136273	0.572830	0.029135	27.180295	0.555389
18.888889	-2.918284	0.053156	-65.807607	1.196554	0.558003	0.027958	28.599990	0.555525
20.000000	-3.056228	0.055699	-69.086652	1.256300	0.576357	0.029015	30.082314	0.555676
21.111111	-2.953733	0.053857	-72.366862	1.316099	0.549798	0.028123	31.578871	0.555837
22.222222	-2.952752	0.053867	-75.632365	1.375661	0.543258	0.028055	33.081081	0.556002
23.333333	-2.953170	0.053901	-78.876839	1.434866	0.535404	0.027602	34.981629	0.556238
24.444444	-2.879053	0.052577	-82.106275	1.493826	0.515289	0.026884	36.381430	0.556409
25.555556	-2.873257	0.052504	-85.316071	1.552460	0.506796	0.026418	37.747095	0.556587
26.666667	-2.860726	0.052304	-88.505175	1.610750	0.497572	0.025942	39.311933	0.556802
27.777778	-2.837686	0.051909	-91.678659	1.668789	0.487312	0.025621	40.629219	0.556989
28.888889	-2.754316	0.050407	-94.825756	1.726376	0.467521	0.024512	41.980650	0.557188
30.000000	-2.833615	0.051898	-97.942654	1.783443	0.472018	0.025197	43.545480	0.557426
31.111111	-2.885499	0.052876	-101.023570	1.839883	0.474677	0.024867	44.979417	0.557652
32.222222	-2.836700	0.052009	-104.079922	1.895908	0.460774	0.024554	46.276817	0.557863
33.333333	-2.700373	0.049549	-107.102029	1.951341	0.430383	0.023651	47.696512	0.558101
34.444444	-2.748210	0.050458	-110.092944	2.006239	0.431774	0.023527	49.096321	0.558342
35.555556	-2.526482	0.046415	-113.026244	2.060113	0.391519	0.022098	50.365229	0.558566
36.666667	-2.639749	0.048529	-115.909645	2.113102	0.402783	0.022712	51.779272	0.558823
37.777778	-2.578851	0.047457	-118.759122	2.165513	0.384885	0.021936	52.843371	0.559022
38.888889	-2.520197	0.046425	-121.586091	2.217559	0.368004	0.021370	54.078143	0.559256
40.000000	-2.497428	0.046048	-124.379846	2.269048	0.357513	0.020855	55.512088	0.559536
41.111111	-2.476516	0.045703	-127.133158	2.319838	0.348047	0.020491	56.678587	0.559769
42.222222	-2.402452	0.044392	-129.861809	2.370228	0.329289	0.019381	57.810959	0.559999
43.333333	-2.382393	0.044073	-132.544695	2.419830	0.318915	0.019525	59.244896	0.560298
44.444444	-2.334292	0.043228	-135.188491	2.468764	0.306296	0.019053	60.411403	0.560546
45.555556	-2.352384	0.043620	-137.809029	2.517325	0.301191	0.018700	61.577903	0.560798
46.666667	-2.283592	0.042387	-140.389908	2.565202	0.286909	0.018157	62.909439	0.561093
47.777778	-2.280472	0.042379	-142.927989	2.612339	0.280517	0.017750	64.027560	0.561345
48.888889	-2.218963	0.041276	-145.416226	2.658607	0.268324	0.017590	65.194060	0.561612
50.000000	-2.174446	0.040508	-147.859876	2.704098	0.256191	0.016958	66.360567	0.561885
51.111111	-2.066407	0.038541	-150.268328	2.748999	0.238560	0.016653	67.609589	0.562181
52.222222	-2.035445	0.038002	-152.595585	2.792428	0.231054	0.016193	68.659438	0.562435
53.333333	-2.047190	0.038280	-154.876690	2.835048	0.226717	0.015958	69.777567	0.562709
54.444444	-1.866350	0.034925	-157.104938	2.876738	0.204164	0.015697	70.924172	0.562995
55.555556	-1.830457	0.034250	-159.178690	2.915538	0.200501	0.015144	71.692349	0.563189
56.666667	-1.744769	0.032650	-161.161455	2.952641	0.190822	0.015267	72.659683	0.563436
57.777778	-1.730972	0.032395	-163.069004	2.988339	0.188997	0.015581	73.476239	0.563648
58.888889	-1.639332	0.030684	-164.888060	3.022385	0.178640	0.015542	74.409445	0.563892
60.000000	-1.555170	0.029111	-166.642620	3.055226	0.169206	0.015063	75.342643	0.564139
61.111111	-1.522513	0.028501	-168.344034	3.087075	0.165586	0.015390	76.042547	0.564327
62.222222	-1.485831	0.027816	-170.000993	3.118094	0.161416	0.015411	76.873344	0.564551
63.333333	-1.422001	0.026624	-171.609848	3.148215	0.154236	0.015343	77.641513	0.564761
