!File created with processIceEx v1-11-02-2016 at 02/08/17 21:18:17 
!hour	        kW   	  kW   	   kWh    	    kWh    	   kW/K 	    kW/K 	 [-] 	 [-] 
!(1)Time	 (2)Power 	 (3)uQ 	 (4)EAcum 	 (5)uEAcum 	 (6)UA 	 (7)uUA 	 V_ice 	 uV_ice 
1.111111	-5.051068	0.046628	-5.671937	0.052352	3.656971	0.235351	3.654327	0.555380
2.222222	-5.239678	0.048366	-11.288839	0.104205	4.847615	0.440776	6.312021	0.556269
3.333333	-5.074824	0.046842	-16.953702	0.156494	5.070639	0.525764	8.858977	0.557570
4.444444	-5.076030	0.046857	-22.611173	0.208715	4.178547	0.317366	11.295196	0.559226
5.555556	-5.019912	0.046345	-28.232379	0.260608	3.609320	0.230250	13.951948	0.561468
6.666667	-4.955553	0.045757	-33.794964	0.311967	3.142622	0.175085	16.277429	0.563815
7.777778	-4.991711	0.046098	-39.310668	0.362900	2.881019	0.146983	18.713648	0.566633
8.888889	-4.939430	0.045622	-44.793157	0.413534	2.575966	0.121163	21.371341	0.570143
10.000000	-4.890168	0.045173	-50.218003	0.463642	2.349356	0.104179	23.807559	0.573748
11.111111	-4.916067	0.045419	-55.608423	0.513440	2.178113	0.092483	26.208553	0.577657
12.222222	-4.927383	0.045530	-60.977793	0.563050	2.026247	0.082579	28.534034	0.581772
13.333333	-4.887213	0.045164	-66.296418	0.612198	1.909178	0.076022	31.080990	0.586642
14.444444	-4.656614	0.043039	-71.597234	0.661189	1.709274	0.067121	33.184997	0.590946
15.555556	-4.661957	0.043093	-76.819553	0.709459	1.639603	0.062745	35.399741	0.595743
16.666667	-4.633915	0.042839	-82.017823	0.757513	1.542998	0.058552	37.728224	0.601076
17.777778	-4.650214	0.042995	-87.142039	0.804887	1.484415	0.055362	40.084036	0.606764
18.888889	-4.744600	0.043873	-92.237525	0.852001	1.446605	0.052233	42.520255	0.612948
20.000000	-4.565873	0.042225	-97.296346	0.898781	1.344540	0.049526	44.734999	0.618828
21.111111	-4.614646	0.042681	-102.357835	0.945593	1.301477	0.047571	47.171218	0.625572
22.222222	-4.424796	0.040929	-107.370216	0.991955	1.214173	0.044794	49.496699	0.632270
23.333333	-4.307771	0.039852	-112.297536	1.037536	1.128855	0.042022	51.733558	0.638947
24.444444	-4.200212	0.038868	-117.115887	1.082118	1.017716	0.037973	54.169776	0.646470
25.555556	-4.082194	0.037790	-121.808081	1.125548	0.896844	0.033677	56.605995	0.654246
26.666667	-4.063500	0.037636	-126.375500	1.167840	0.798084	0.029816	58.710002	0.661159
27.777778	-2.854854	0.026446	-130.793508	1.208767	0.540155	0.027487	60.893474	0.668520
28.888889	-2.507372	0.023203	-133.475904	1.233597	0.603069	0.035765	62.665269	0.674629
30.000000	-2.470823	0.022863	-136.218982	1.258980	0.601701	0.035158	64.104853	0.679680
31.111111	-2.446411	0.022640	-138.978359	1.284514	0.581535	0.033530	65.433700	0.684410
32.222222	-2.463937	0.022805	-141.730411	1.309984	0.567912	0.033194	66.873284	0.689605
33.333333	-2.300203	0.021295	-144.427958	1.334953	0.498103	0.030178	68.312867	0.694874
34.444444	-2.238422	0.020731	-146.997265	1.358744	0.442328	0.028276	69.671724	0.699912
35.555556	-2.117652	0.019622	-149.448030	1.381447	0.379309	0.024624	71.000570	0.704899
36.666667	-2.061292	0.019109	-151.809010	1.403329	0.336643	0.023064	71.886468	0.708257
37.777778	-1.933581	0.017932	-154.045181	1.424064	0.296696	0.021501	72.993840	0.712489
38.888889	-1.819783	0.016882	-156.189143	1.443950	0.266269	0.019860	74.101212	0.716761
40.000000	-1.847964	0.017148	-158.224281	1.462832	0.259642	0.019455	75.208584	0.721071
41.111111	-1.724091	0.016001	-160.186952	1.481046	0.235097	0.019090	76.094482	0.724546
42.222222	-1.642775	0.015250	-162.041471	1.498259	0.218032	0.018579	77.091117	0.728484
43.333333	-1.569242	0.014569	-163.789404	1.514486	0.204101	0.018148	77.644803	0.730685
44.444444	-1.448744	0.013452	-165.461437	1.530011	0.185076	0.017949	78.667505	0.734773
45.555556	-1.532276	0.014231	-167.098409	1.545213	0.190647	0.017613	79.221191	0.737000
46.666667	-1.452358	0.013491	-168.710462	1.560185	0.176587	0.016439	79.885615	0.739683
47.777778	-1.397586	0.012984	-170.293697	1.574893	0.166371	0.016630	80.660775	0.742829
48.888889	-1.380679	0.012829	-171.832883	1.589194	0.161540	0.016321	81.325198	0.745539
50.000000	-1.325806	0.012321	-173.344136	1.603238	0.152493	0.016037	81.768147	0.747353
51.111111	-1.306174	0.012140	-174.799221	1.616761	0.148284	0.015881	82.543308	0.750540
52.222222	-1.263168	0.011742	-176.233604	1.630093	0.141141	0.015569	83.207731	0.753285
53.333333	-1.239612	0.011524	-177.641318	1.643180	0.136539	0.015308	83.650680	0.755121
54.444444	-1.240713	0.011536	-179.016449	1.655964	0.134903	0.015216	84.219216	0.757486
55.555556	-1.212473	0.011275	-180.373465	1.668582	0.129923	0.014904	84.883639	0.760261
56.666667	-1.062265	0.009879	-181.644074	1.680398	0.113457	0.015089	85.548062	0.763047
57.777778	-1.009466	0.009388	-182.804762	1.691192	0.107887	0.014708	86.323223	0.766312
58.888889	-0.943972	0.008779	-183.923795	1.701599	0.100863	0.014840	86.766172	0.768185
60.000000	-0.963528	0.008961	-185.011247	1.711712	0.102692	0.014857	87.430595	0.771003
61.111111	-0.872885	0.008118	-186.055936	1.721428	0.093039	0.014817	87.873544	0.772888
62.222222	-0.954727	0.008879	-187.064895	1.730812	0.101454	0.014829	88.537967	0.775725
63.333333	-0.860161	0.008000	-188.038432	1.739866	0.091420	0.014775	88.980916	0.777622
64.444444	-0.835545	0.007771	-188.981279	1.748635	0.088765	0.014767	89.404442	0.779441
65.555556	-0.774454	0.007203	-189.902718	1.757206	0.082304	0.014682	89.847390	0.781347
66.666667	-0.817092	0.007600	-190.793707	1.765493	0.086695	0.015043	90.179602	0.782781
67.777778	-0.814685	0.007577	-191.663568	1.773584	0.086393	0.014600	90.622551	0.784695
68.888889	-0.810304	0.007537	-192.531833	1.781660	0.085988	0.015028	90.733288	0.785175
70.000000	-0.759748	0.007067	-193.360090	1.789364	0.080504	0.014358	91.176237	0.787096
71.111111	-0.713900	0.006641	-194.178834	1.796979	0.075657	0.014376	91.508449	0.788539
72.222222	-0.720682	0.006704	-194.983379	1.804463	0.076420	0.014996	91.729923	0.789503
73.333333	-0.699180	0.006504	-195.787498	1.811943	0.074123	0.014363	91.951397	0.790468
74.444444	-0.690228	0.006421	-196.570130	1.819223	0.073145	0.014706	92.062135	0.790951
75.555556	-0.690693	0.006425	-197.346169	1.826442	0.073221	0.015043	92.394346	0.792402
76.666667	-0.689904	0.006418	-198.114118	1.833585	0.073038	0.014744	92.615821	0.793370
77.777778	-0.686641	0.006387	-198.871715	1.840633	0.072693	0.014674	92.726558	0.793855
78.888889	-0.674062	0.006270	-199.630327	1.847690	0.071388	0.014732	93.058770	0.795311
80.000000	-0.657862	0.006120	-200.369749	1.854568	0.069635	0.014828	93.207423	0.795963
81.111111	-0.690206	0.006421	-201.112978	1.861482	0.072997	0.014782	93.318160	0.796449
82.222222	-0.698947	0.006502	-201.851476	1.868352	0.073906	0.014796	93.539624	0.797422
